Date,AAPL,BYDDF,EONGY,LNVGF,NIO,PLUN.F,TSLA,TKA.DE,XIACF
2021-08-02,145.52000427246094,33.0,12.390000343322754,0.9900000095367432,45.849998474121094,22.549999237060547,236.55667114257812,8.350000381469727,3.3299999237060547
2021-08-03,147.36000061035156,33.0,12.510000228881836,0.9900000095367432,44.56999969482422,22.100000381469727,236.5800018310547,8.468000411987305,3.319999933242798
2021-08-04,146.9499969482422,35.45000076293945,12.369999885559082,0.9700000286102295,45.09000015258789,21.790000915527344,236.97332763671875,8.45199966430664,3.450000047683716
2021-08-05,147.05999755859375,35.900001525878906,12.449999809265137,0.9599999785423279,45.599998474121094,22.315000534057617,238.2100067138672,8.62600040435791,3.4100000858306885
2021-08-06,146.13999938964844,34.81999969482422,12.319999694824219,0.9300000071525574,43.84000015258789,22.1200008392334,233.03334045410156,8.779999732971191,3.390000104904175
2021-08-09,146.08999633789062,34.29999923706055,12.420000076293945,0.9300000071525574,45.209999084472656,24.399999618530273,237.9199981689453,8.758000373840332,3.4549999237060547
2021-08-10,145.60000610351562,34.38999938964844,12.529999732971191,0.9300000071525574,44.220001220703125,24.950000762939453,236.663330078125,8.90999984741211,3.4600000381469727
2021-08-11,145.86000061035156,34.5099983215332,12.579999923706055,1.0700000524520874,43.970001220703125,23.385000228881836,235.94000244140625,8.425999641418457,3.4700000286102295
2021-08-12,148.88999938964844,35.20000076293945,12.619999885559082,1.0499999523162842,42.470001220703125,22.100000381469727,240.75,8.538000106811523,3.4000000953674316
2021-08-13,149.10000610351562,35.0,12.770000457763672,1.0299999713897705,41.029998779296875,21.530000686645508,239.05667114257812,8.694000244140625,3.2899999618530273
2021-08-16,151.1199951171875,32.31999969482422,12.90999984741211,1.0499999523162842,38.619998931884766,21.479999542236328,228.72332763671875,8.609999656677246,3.2100000381469727
2021-08-17,150.19000244140625,32.36000061035156,12.960000038146973,1.0199999809265137,38.099998474121094,21.7450008392334,221.90333557128906,8.663999557495117,3.1500000953674316
2021-08-18,146.36000061035156,33.08000183105469,13.15999984741211,1.0800000429153442,38.86000061035156,21.53499984741211,229.663330078125,8.685999870300293,3.1600000858306885
2021-08-19,146.6999969482422,33.099998474121094,13.170000076293945,1.0299999713897705,36.290000915527344,20.700000762939453,224.49000549316406,8.465999603271484,3.0999999046325684
2021-08-20,148.19000244140625,32.630001068115234,13.260000228881836,1.0399999618530273,36.91999816894531,20.649999618530273,226.75332641601562,8.503999710083008,3.069999933242798
2021-08-23,149.7100067138672,34.22999954223633,13.4399995803833,1.0399999618530273,38.16999816894531,21.549999237060547,235.43333435058594,8.60200023651123,3.200000047683716
2021-08-24,149.6199951171875,34.4900016784668,13.199999809265137,0.9800000190734863,38.939998626708984,21.600000381469727,236.163330078125,8.935999870300293,3.3299999237060547
2021-08-25,148.36000061035156,34.13999938964844,13.170000076293945,1.0299999713897705,38.95000076293945,22.809999465942383,237.06666564941406,9.069999694824219,3.3399999141693115
2021-08-26,147.5399932861328,32.65999984741211,13.0600004196167,1.0,38.2599983215332,22.2549991607666,233.72000122070312,9.079999923706055,3.180000066757202
2021-08-27,148.60000610351562,32.79999923706055,13.100000381469727,1.0,38.04999923706055,22.735000610351562,237.30667114257812,9.13599967956543,3.2100000381469727
2021-08-30,153.1199951171875,33.599998474121094,13.1899995803833,1.059999942779541,37.79999923706055,22.28499984741211,243.6366729736328,9.354000091552734,3.240000009536743
2021-08-31,151.8300018310547,33.59000015258789,13.239999771118164,1.090000033378601,39.310001373291016,22.399999618530273,245.24000549316406,9.434000015258789,3.200000047683716
2021-09-01,152.50999450683594,33.380001068115234,13.390000343322754,1.1200000047683716,39.08000183105469,22.8799991607666,244.69667053222656,9.34000015258789,3.2850000858306885
2021-09-02,153.64999389648438,33.599998474121094,13.329999923706055,1.1100000143051147,40.349998474121094,22.80500030517578,244.1300048828125,9.333999633789062,3.259999990463257
2021-09-03,154.3000030517578,32.95000076293945,13.270000457763672,1.090000033378601,40.369998931884766,22.30500030517578,244.52333068847656,9.045999526977539,3.2699999809265137
2021-09-07,156.69000244140625,35.25,13.09000015258789,1.0700000524520874,40.59000015258789,22.719999313354492,250.97332763671875,9.163999557495117,3.2300000190734863
2021-09-08,155.11000061035156,34.08000183105469,13.1899995803833,1.059999942779541,38.13999938964844,21.475000381469727,251.2899932861328,9.015999794006348,3.134999990463257
2021-09-09,154.07000732421875,34.349998474121094,13.1899995803833,1.0199999809265137,38.45000076293945,21.540000915527344,251.6199951171875,9.12600040435791,3.0899999141693115
2021-09-10,148.97000122070312,33.150001525878906,13.010000228881836,1.0700000524520874,37.97999954223633,20.905000686645508,245.42333984375,9.173999786376953,3.0799999237060547
2021-09-13,149.5500030517578,33.04999923706055,13.149999618530273,1.0199999809265137,38.38999938964844,20.549999237060547,247.6666717529297,9.4399995803833,3.0199999809265137
2021-09-14,148.1199951171875,33.540000915527344,13.279999732971191,1.0700000524520874,37.88999938964844,20.844999313354492,248.163330078125,9.295999526977539,3.009999990463257
2021-09-15,149.02999877929688,33.349998474121094,13.109999656677246,1.0700000524520874,38.029998779296875,20.700000762939453,251.94332885742188,9.357999801635742,2.990000009536743
2021-09-16,148.7899932861328,31.989999771118164,12.949999809265137,1.0700000524520874,37.09000015258789,21.135000228881836,252.3300018310547,9.140000343322754,2.9200000762939453
2021-09-17,146.05999755859375,32.77000045776367,12.779999732971191,1.0700000524520874,37.5099983215332,22.020000457763672,253.163330078125,9.119999885559082,2.944999933242798
